WORD, PART OF SPEECH, DEFINITION
Odium,noun, contempt dislike aversion         
Odor,noun, smell favor reputation         
Officious,adjective, too eager or ready to help offer advice    
Ominous,adjective, threatening         
Onerous,adjective, needing effort burdensome         
Opaqueness,noun, dullness/not allowing light to pass through    
Opprobrious,adjective, showing scorn or reproach        
Ossify,verb, to turn to bone to settle rigidly into an idea  
Ostensible,adjective, seeming appearing as such professed       
Ostentation,noun, display to obtain admiration or envy      
Ostracism,noun, shut out from society refuse to meet talk    
Overhaul,verb, examine thoroughly to learn about the condition     
Overweening,adjective, presumptuously arrogant overbearing immoderate being a jerk     
Paean,adjective, song of praise or triumph       
Palate,noun, roof of the mouth sense of taste     
Palatial,adjective, magnificent           
Palliate,verb, lessen the severity of        
Palpability,noun, can be felt touched understood       
Palpitate,verb, tremble beat rapidly and irregularly       
Panegyric,adjective, formal praise eulogy         
Paradigm,noun, a model example or pattern       
Parenthesis,noun, sentence within another one something separated      
Pariah,noun, an outcast a rejected and despised person     
Parsimonious,adjective, too economical miserly         
Partisan,adjective, one-sided committed to a party biased or prejudiced    
Patron,noun, regular customer person who gives support      
Paucity,noun, scarcity a lacking of        
Peccadillo,noun, small sin small weakness in one's character     
Pedantic,adjective, bookish showing off learning        
Pedestrian,adjective, commonplace trite unremarkable         
Pellucid,noun, transparent easy to understand        
Penchant,noun, strong inclination a liking        
Penitent,adjective, feeling or showing regret        
Penurious,adjective, poor/stingy         
Penury,noun, extreme poverty          
Peregrination,noun, traveling about wandering         
Peremptory,adjective, urgent imperative unchallengeable ending debate       
Perfidious,adjective, treacherous faithless          
Perfidy,noun, treachery breaking of faith        
Perfunctory,noun, done as a duty without care      
Perilous,adjective, dangerous           
Peripatetic,adjective, wandering           
Perish,adjective, be destroyed decay         
Perjury,noun, willful FALSE statement unlawful act       
Permeate,verb, spread into every part of       
Pernicious,adjective, harmful injurious          
Perpetrate,verb, be guilty commit (a crime)       
Personable,adjective, pleasing in appearance attractive        
Perspicacity,noun, quick judging and understanding        
Pertain,verb, belong as a part have reference      
Pest,noun, destructive thing or a person who is nuisance    
Petrified,verb, taken away power (to think feel act)     
Petrify,verb, to make hard rocklike        
Petrous,adjective, like a rock hard stony       
Petulant,adjective, unreasonably impatient          
Philistine,noun, a smug ignorant person one who lacks knowledge    
Phlegmatic,adjective, calm sluggish temperament unemotional        
Picaresque,adjective, involving clever rogues or adventurers       
Pied,verb, of mixed colors         
Pinch,verb, be too tight take between the thumb and finger   
Pine,verb, waste away through sorrow or illness    
Pious,adjective, dutiful to parents devoted to religion      
Piquant,noun, agreeably pungent stimulating         
Pique,noun, hurt the pride or self-respect stir (curiosity)     
Pitfall,noun, covered hole as a trap unsuspected danger     
Pith,noun, essential part force soft liquid substance      
Pivotal,adjective, of great importance (others depend on it)     
Placate,verb, soothe pacify calm         
Plaintive,adjective, mournful melancholy sorrowful         
Plaque,noun, flat metal on a wall as a memorial    
Platitude,noun, a trite or banal statement unoriginality      
Plea,noun, request           
Plead,verb, address a court of law as an advocate    
Plethora,noun, glut           
Pliant,adjective, pliable easily bent shaped or twisted      
Plod,verb, continue doing something without resting       
Pluck,verb, pull the feathers off pick (e.g.. flowers)     
Plumb,verb, get to the root of       
Plummet,verb, fall plunge steeply         
Plunge,verb, move quickly suddenly and with force      
Poignant,adjective, deeply moving keen         
Poncho,noun, large piece of cloth      
Ponderous,adjective, heavy bulky dull         
Portent,noun, omen marvelous threatening         
Precarious,adjective, uncertain risky dangerous         
Precepts,noun, rules establishing standards of conduct       
Preclude,verb, prevent make impossible         
Precursory,adjective, preliminary anticipating          
Predilection,noun, special liking mental preference        
Predominate,noun, have more power than others       
Preen,adjective, tidy/show self-satisfaction        
Premature,adjective, doing or happening something before the right time    
Preponderance,noun, greatness in number strength weight       
Presage,noun, warning sign          
Presumption,noun, arrogance         
Preternatural,adjective, not normal or usual        
Prevalent,adjective, common           
Prevaricate,verb, to equivocate to stray from the truth     
Prim,adjective, neat formal          
Pristine,adjective, primitive unspoiled pure as in earlier times unadulterated    
Probity,noun, uprightness incorruptibility principle         
Proclivity,noun, inclination           
Procrastination,noun, keeping on putting off        
Prodigal,adjective, wasteful reckless with money        
Prodigious,adjective, enormous wonderful          
Profane,noun, worldly having contempt for God       
Profligacy,noun, shameless immorality        
Profligate,adjective, wasteful prodigal licentious extravagant        
Profundity,noun, depth           
Profuse,adjective, abundant/lavish         
Proliferate,noun, grow reproduce by rapid multification       
Prolix,noun, tiring because too long        
Prone,adjective, prostrate inclined to (undesirable things)       
Propagation,noun, increasing the number spreading extending       
Propinquity,noun, nearness in time or place affinity of nature    
Propitiatory,noun, conciliatory appeasing mitigating         
Propitious,adjective, auspicious presenting favorable circumstances        
Prosaic,adjective, everyday mundane commonplace trite pedestrian       
Proscribe,verb, denounce as dangerous         
Protracted,adjective, prolonged           
Provident,adjective, frugal looking to the future       
Provisional,adjective, of the present time only       
Provoke,verb, make angry vax         
Prudence,noun, careful forethought          
Prudish,adjective, easily shocked excessively modest        
Prune,noun, dried plum silly person        
Pry,verb, get something inquire too curiously       
Pucker,noun, wrinkle         
Pugnacious,adjective, fond of in the habit of fighting     
Puissance,noun, strength         
Punctilious,adjective, precise paying attention to trivialities       
Pundit,noun, pedant authority on a subject       
Pungency,noun, sharpness stinging quality         
Purvey,verb, provide supply          
Pusillanimous,adjective, cowardly craven          
Putrefaction,noun, becoming rotten        
Pyre,noun, large pile of wood for burning      
Quack,noun, person dishonestly claiming to something       
Quaff,noun, drink deeply          
Quail,verb, lose courage turn frightened        
Qualm,noun, feeling of doubt temporary feeling of sickness     
Quandary,noun, state of doubt or perplexity     
Quell,noun, suppress subdue          
Quibble,adjective, try to avoid by sophistication       
Quiescence,noun, state of being passive/motionless      
Quiescent,adjective, at rest dormant torpid        
Quirk,noun, habit or action peculiar to someone or something    
Quixotic,adjective, generous unselfish          
Quotidian,adjective, banal everyday          
Rabble,noun, mob crowd the lower classes of populace     
Raconteur,noun, person who tells anecdotes        
Raffish,adjective, low vulgar base tawdry        
Ramify,verb, to be divided or subdivided to branch out    
Rancorous,adjective, feeling bitterness spitefulness         
Rant,noun, use extravagant language         
Rapacious,adjective, greedy (esp for money)        
Rarefy,noun, to make thin to make less dense to purify or refine 
Rave,verb, act with excessive enthusiasm      
Reactionary,adjective, opposing progress          
Rebuff,verb, snub           
Recalcitrant,adjective, disobedient           
Recant,verb, take back as being FALSE give up     
Recast,verb, cast or fashion anew        
Recidivism,noun, relapse into antisocial or criminal behavior      
Reciprocity,noun, granting of privileges in return for similar     
Recitals,noun, a number of performance of music      
Recluse,noun, person who lives alone and avoids people     
Recompense,noun, make payment to reward punish       
Reconcile,noun, settle a quarrel restore peace       
Recondite,adjective, little known abstruse         
Recreancy,noun, cowardice a cowardly giving up       
Recuperate,verb, become strong after illness loss exhaustion      
Redeem,verb, get back by payment compensate       
Redoubtable,adjective, formidable causing fear         
Refine,verb, make or become pure cultural       
Refractory,noun, stubborn unmanageable untractable         
Refulgent,adjective, shining brilliant          
Regale,verb, to delight or entertain to feast      
Regicide,noun, crime of killing a king       
Reiterate,verb, say or do again several times      
Rejuvenation,noun, becoming young in nature or appearance      
Relapse,verb, fall back again         
Remonstrate,verb, to protest object         
Render,verb, deliver provide represent         
Renovate,verb, restore something to better condition       
Renowned,adjective, celebrated famous          
Repast,noun, meal           
Repel,verb, refuse to accept/cause dislike      
Repine,verb, at be discontented with        
Reproach,verb, scold upbraid          
Reprobate,noun, person hardened in sin one devoid of decency    
Repudiate,verb, disown refuse to accept or pay      
Repulsive,adjective, causing a feeling of disgust       
Requite,verb, repay give in return        
Rescind,verb, repeal/annul/cancel         
Resigned,adjective, unresisting submissive          
Resilience,noun, quality of quickly recovering the original shape     
Resort,noun, to frequently visit         
Restive,adjective, refusing to move reluctant to be controlled     
Resuscitation,noun, coming back to consciousness        
Retard,verb, check hinder          
Reticent,adjective, reserved untalkative silent taciturn        
Revere,verb, have deep respect for        
Reverent,adjective, feeling or showing deep respect     
Riddle,noun, puzzling person or thing      
Rift,noun, split crack dissension         
Rivet,noun, fix take up secure metal pin      
Roll,noun, call calling of names        
Rotund,adjective, rich and deep plump and round      
Ruffian,noun, violent cruel man         
Rumple,verb, make rough        
Sagacious,adjective, having sound judgment perceptive wise like a sage    
Salacious,adjective, obscene           
Salubrious,adjective, healthful           
Salutary,adjective, remedial wholesome causing improvement        
Sanctimony,noun, self-righteousness hypocritical with FALSE piety       
Sanction,noun, approval (by authority) penalty        
Sanguine,adjective, cheerful confident optimistic         
Sanity,noun, health of mind soundness of judgement      
Sash,noun, long strip worn round the waist    
Satiate,verb, satisfy fully          
Saturnine,adjective, gloomy dark sullen morose        
Savant,noun, person of great learning        
Savor,verb, taste flavor something         
Sawdust,noun, tiny bits of wood        
Scabbard,noun, sheath for the blade        
Scent,noun, smell (esp pleasant)         
Scorch,verb, become discolored/dry up/go at high speed    
Scribble,verb, write hastily          
Scurvy,adjective, mean contemptible          
Secular,adjective, material (not spiritual) living outside monasteries      
Sedulous,adjective, persevering           
Seminal,adjective, like a seed constituting a source originative     
Sententious,adjective, short and pithy full of maxims/proverbs      
Sequence,noun, succession connected line of        
Sere,verb, make hard and without feeling     
Sermon,noun, reproving a person for his faults    
Serrated,adjective, having a toothed edge        
Serration,noun, having a toothed edge        
Servile,adjective, like a servant lacking independence       
Sever,verb, break off        
Severance,noun, severing           
Shallow,adjective, little depth not earnest        
Shard,noun, piece of broken earthenware        
Sheath,noun, cover for the blade of a weapon or a tool  
Shrewd,adjective, astute showing sound judgement        
Shrill,adjective, sharp piercing          
Shun,verb, keep away from avoid        
Shunt,noun, send from one track to another lay aside evade discussion  
Sidestep,verb, step to one side        
Simper,verb, (give a) silly/self-conscious smile      
Sinuous,adjective, winding undulating serpentine         
Skiff,noun, small boat          
Skit,noun, short piece of humorous writing       
Slack,adjective, sluggish dull not tight        
Slake,verb, to assuage to satisfy allay       
Slate,noun, kind of blue-grey stone propose criticize      
Sluggard,noun, lazy slow-moving person         
Slur,verb, join sounds/words (indistinct)       
Smolder,verb, burn slowly without flame      
Snare,noun, trap         
Snub,verb, treat with contempt       
Soar,verb, rise fly high         
Sober,adjective, self-controlled           
Sobriety,noun, quality or condition of being sober      
Sodden,adjective, soaked saturated          
Soggy,adjective, heavy with water         
Solvent,adjective, of the power of forming a solution     
Somatic,adjective, of the body         
Soot,noun, black powder in smoke        
Sophisticated,adjective, complex subtle refined         
Sophistry,noun, fallacious reasoning faulty logic        
Sophomoric,adjective, self-assured though immature affected bombastic overblown      
Soporific,adjective, producing sleep        
Sordid,adjective, wretched comfortless contemptible         
Spear,noun, weapon with a metal point on a long shaft   
Specious,adjective, illogical of questionable truth or merit      
Splenetic,adjective, bad-tempered irritable          
Splice,verb, join (two ends)         
Sponge,noun, porous rubber for washing live at once expense    
Spurious,adjective, FALSE counterfeit          
Spurn,verb, have nothing to do reject or refuse     
Squalid,adjective, foul filthy          
Squander,verb, spend wastefully          
Squat,verb, crouch/settle without permission       
Stanch,verb, to stop the flow of a fluid     
Steep,adjective, rising or falling sharply        
Stentorian,adjective, extremely loud and powerful        
Stickler,noun, person who insists on importance of something     
Stigma,noun, mark of shame or disgrace       
Stigmatize,verb, describe someone scornfully         
Sting,noun, something sharp          
Stingy,adjective, spending using unwillingly         
Stint,noun, to be thrifty to set limits      
Stipple,verb, paint with dots       
Stipulate,verb, state or put forward as a necessary condition    
Stolid,adjective, showing no emotion impassive        
Stray,verb, wander lose one's way        
Streak,noun, long thin move very fast       
Striated,adjective, striped grooved or banded        
Stride,verb, walk with long steps        
Strut,noun, a supporting bar         
Stygian,adjective, hence dark gloomy         
Stymie,verb, to hinder obstruct or block       
Subdue,verb, overcome bring under control        
Sublime,adjective, extreme astounding          
Submerge,verb, put under water liquid sink out of sight    
Suborn,verb, induce by bribery or something to commit perjury    
Subpoena,noun, written order requiring a person to appear in a low court 
Substantiation,noun, giving facts to support (statement)     
Subsume,verb, include under a rule        
Succor,noun, assistance relief in time of distress      
Suffice,verb, be enough          
Suffocate,verb, cause or have difficulty in breathing    
Sullied,adjective, to be stained or discredited       
Summarily,adjective, briefly without delay         
Sumptuous,adjective, magnificent           
Sundry,adjective, various miscellaneous separate         
Supercilious,adjective, disdainful characterized by haughty scorn       
Superfluous,adjective, more then is needed or wanted      
Superimpose,verb, put something on the top       
Supersede,noun, take the place of        
Supine,adjective, lying on the back slow to act passive    
Suppliant,adjective, asking humbly beseeching         
Supplicate,verb, make a humble petition to       
Suppress,verb, prevent from being known put an end to    
Surcharge,noun, additional load/charge        
Surfeit,adjective, satiate feed to fulness or to excess     
Susceptibility,noun, sensitiveness           
Swerve,verb, change direction suddenly       
Sycophant,noun, person who flatter to the rich and powerful    
Synopsis,noun, summary or outline         
Taciturn,adjective, untalkative silent          
Tadpole,noun, form of a frog when it leaves the egg 
Talon,noun, claw of a bird of prey      
Tamp,verb, tap or drive down by repeated light blows    
Tamper,verb, interfere with          
Tangential,adjective, suddenly changeable          
Tarnished,adjective, lost brightness          
Tassel,noun, bunch of threads       
Taunt,noun, contemptuous reproach hurtful remark        
Taut,adjective, tightly stretched          
Tautology,noun, a repetition a redundancy        
Tawdry,adjective, cheap gaudy showy tacky        
Teetotal,verb, oppose alcohol         
Temerity,noun, boldness brashness intrepidness         
Temperance,noun, abstinence from alcohol self-control moderation       
Temperate,noun, showing self-control          
Tenacity,noun, firmness persistency adhesiveness tending to hang on     
Tenuous,adjective, insubstantial flimsy weak         
Tepid,adjective, lukewarm         
Terse,adjective, brief and to the point       
Testiness,noun, witness/evidence         
Thrift,noun, care economy thriving prosperous        
Thwart,noun, obstruct/frustrate         
Timid,adjective, shy easily frightened         
Timorous,adjective, fearful timid afraid         
Toady,adjective, obsequious flatterer        
Tonic,noun, something giving strength or energy       
Topple,noun, be unsteady and overturn        
Torment,noun, severe pain or suffering        
Torpid,adjective, sleeping sluggish lethargic dormant        
Torque,noun, twisting force causing rotation      
Tortuous,adjective, devious/not straightforward        
Tout,noun, person who worries others to buy something to use his service 
Tractable,adjective, easily controlled or guided        
Transgress,verb, break go beyond (a limit)       
Transient,noun, temporary fleeting          
Transitory,adjective, brief           
Travesty,noun, parody/imitation         
Trenchant,adjective, forceful effective vigorous extremely perceptive incisive      
Trepidation,noun, alarm excited state of mind       
Trickle,verb, flow in drops       
Trifling,adjective, unimportant           
Trite,adjective, not new          
Truce,noun, (agreement) stop of fighting for a time   
Truculence,noun, aggressiveness ferocity          
Trudge,verb, walk heavily          
Turbid,adjective, muddy having the sediment stirred up      
Turbulence,noun, being uncontrolled violent         
Turgid,adjective, excessively ornate swollen or bloated       
Turmoil,noun, trouble disturbance          
Turpitude,noun, wickedness shamefulness          
Turquoise,noun, greenish-blue precious stone       
Tyro,noun, tiro beginner          
Ubiquitous,adjective, present everywhere        
Ulterior,adjective, situated beyond          
Umbrage,noun, offense resentment          
Uncouth,adjective, rough awkward          
Underbid,verb, make a lower bid then someone else     
Undermine,verb, weaken gradually at the base make something under    
Undulate,verb, to move in wavelike fashion fluctuate      
Unearth,verb, discover and bring to light     
Unencumbered,adjective, easy-going trifle          
Unfeigned,adjective, not pretended sincere         
Unscathed,adjective, unharmed unhurt          
Untoward,adjective, unfortunate inconvenient          
Upbraid,verb, scold reproach          
Urbane,adjective, elegant refined in manners        
Vacillation,noun, being uncertain hesitating         
Vagary,adjective, strange act or idea        
Vain,adjective, without use result conceited        
Valiant,adjective, brave           
Valorous,adjective, brave           
Vanquish,verb, conquer           
Veer,verb, change direction          
Venal,adjective, ready to do something dishonest       
Veneer,noun, surface appearance covering the TRUE nature      
Veneration,noun, regard with deep respect        
Veracity,noun, truth           
Verdant,adjective, fresh and green       
Verisimilitude,noun, appearing TRUE or real        
Veritable,adjective, real rightly named         
Verve,noun, spirit vigor enthusiasm         
Vestige,noun, trace or sign       
Vex,verb, annoy distress trouble         
Vigilance,noun, watchfulness self-appointed group who maintain order      
Vigilant,noun, member of a vigilance committee       
Vigorous,adjective, strong energetic          
Vilify,verb, slander say evil things        
Vindictive,adjective, having a desire to revenge       
Virago,noun, a loud domineering woman a scold or nag    
Visceral,adjective, of the internal organs of the body     
Viscous,adjective, sticky/semi-fluid         
Vitiate,noun, lower the quality weaken the strength      
Vituperate,noun, curse abuse in words        
Vivacious,adjective, lively high-spirited          
Volatile,adjective, changeable inconstant fickle unstable explosive       
Volubility,noun, fluency verbosity easy use of spoken language     
Voluble,adjective, fluent           
Waffle,verb, talk vaguely and without much result    
Waft,noun, scent waving movement carry lightly through      
Wag,noun, merry person          
Warmonger,noun, person who stirs up war       
Warrant,noun, authority written order guarantee        
Wean,verb, to turn away (from a habit)    
Weigh,verb, measure assess importance of       
Welter,noun, turmoil a bewildering jumble        
Wend,verb, to go proceed         
Whimsical,adjective, full of odd and fanciful ideas      
Wince,verb, show bodily or mental pain       
Woo,verb, try to win         
Writ,noun, written order        
Yarn,noun, tale story fibers for knitting       
